Index       TIME              V(30)      
0        0.00000000e+00    9.46342527e-03
1        5.00000000e-07    9.46342527e-03
2        1.50000000e-06    9.46342527e-03
3        3.50000000e-06    9.46342527e-03
4        7.50000000e-06    9.46342527e-03
5        1.55000000e-05    9.46342527e-03
6        2.55000000e-05    9.46342527e-03
7        3.55000000e-05    9.46342527e-03
8        4.55000000e-05    9.46342527e-03
9        5.55000000e-05    9.46342527e-03
10       6.55000000e-05    9.46342527e-03
11       7.55000000e-05    9.46342527e-03
12       8.55000000e-05    9.46342527e-03
13       9.55000000e-05    9.46342527e-03
14       1.00000000e-04    9.46342527e-03
End of Xyce(TM) Simulation
