,wire,length (mm)
0,connect0,{'': 13.59391}
1,connect1,{'': 2.59182}
2,connect2,{'': 2.363819999999998}
3,connect3,{'': 4.443819999999998}
4,out,{'': 3.9619099999999987}
5,soln1,{'': 14.165909999999997}
6,soln2,{'': 3.4219100000000013}
7,soln3,{'': 4.789910000000001}
