,wire,length (mm)
0,connect0,{'': 16.273909999999997}
1,connect1,{'': 9.51791}
2,connect2,{'': 14.277909999999999}
3,connect3,{'': 6.069909999999999}
4,connect4,{'': 1.935819999999997}
5,connect5,{'': 1.4798199999999992}
6,out,{'': 2.3659099999999986}
7,soln1,{'': 12.457909999999998}
8,soln2,{'': 14.623999999999999}
9,soln3,{'': 14.227999999999994}
10,soln4,{'': 7.29791}
