,wire,length (mm)
0,connect0,{'': 1.7120000000000015}
1,connect1,{'': 15.391999999999998}
2,connect2,{'': 10.543819999999997}
3,connect3,{'': 2.624}
4,connect4,"{'0_0': 0.4279999999999998, '0_1': 5.3019099999999995, '1_0': 0.20000000000000007}"
5,connect5,{'': 7.981910000000002}
6,out,{'': 4.792000000000001}
7,soln1,{'': 10.719999999999999}
8,soln2,{'': 3.87791}
9,soln3,{'': 3.6499100000000015}
10,soln4,{'': 3.6499099999999998}
