,wire,length (mm)
0,connect0,{'': 12.851819999999996}
1,connect1,{'': 1.5119999999999991}
2,connect2,{'': 2.363819999999998}
3,connect3,{'': 4.443819999999998}
4,out,{'': 3.9619099999999987}
5,soln1,{'': 14.309909999999995}
6,soln2,{'': 3.4219100000000013}
7,soln3,{'': 4.789910000000001}
