Index,TIME,C_sample(out),C_R1(out),C_R2(out)
0,0.0,0.00946342527,0.503933467,0.486603108
1,5e-07,0.00946342527,0.503933467,0.486603108
2,1.5e-06,0.00946342527,0.503933467,0.486603108
3,3.5e-06,0.00946342527,0.503933467,0.486603108
4,7.5e-06,0.00946342527,0.503933467,0.486603108
5,1.55e-05,0.00946342527,0.503933467,0.486603108
6,2.55e-05,0.00946342527,0.503933467,0.486603108
7,3.55e-05,0.00946342527,0.503933467,0.486603108
8,4.55e-05,0.00946342527,0.503933467,0.486603108
9,5.55e-05,0.00946342527,0.503933467,0.486603108
10,6.55e-05,0.00946342527,0.503933467,0.486603108
11,7.55e-05,0.00946342527,0.503933467,0.486603108
12,8.55e-05,0.00946342527,0.503933467,0.486603108
13,9.55e-05,0.00946342527,0.503933467,0.486603108
14,0.0001,0.00946342527,0.503933467,0.486603108
