,wire,length (mm)
0,connect0,{'': 13.479819999999997}
1,connect1,{'': 1.4539099999999987}
2,connect2,{'': 2.359639999999996}
3,connect3,{'': 4.6718199999999985}
4,out,{'': 3.9619099999999987}
5,soln1,{'': 14.309909999999995}
6,soln2,{'': 5.0179100000000005}
7,soln3,{'': 4.789910000000001}
