,wire,length (mm)
0,connect0,{'': 14.221909999999996}
1,connect1,{'': 1.4539099999999987}
2,connect2,{'': 2.1337299999999964}
3,connect3,{'': 5.471819999999998}
4,out,{'': 3.9619099999999987}
5,soln1,{'': 14.165909999999997}
6,soln2,{'': 5.0179100000000005}
7,soln3,{'': 6.84191}
