Name,Number of Samples,Runtime [s],Time to Best Design [s],Die Area,Design Area,% Area Utilization,Maximum X Coordinate,Total Wire Length,Max Wire Length,Max Wire Location,Mean Wire Length,Median Wire Length,Concentrations,Concentration Error [%],Required Volume [mL]
ten_samples,10,1897.7259199619293,1883.8170955181122," 0 0 2550 1590
",432900,13%,3180000," 20629 um.
",19.757910000000003,connect6,7.042791034482759,6.6139100000000015,100,53.9908418,2.9499187199999998e-05
,,,,,,,,,,,,,100,60.124133400000005,2.9499187199999998e-05
,,,,,,,,,,,,,100,71.4190604,2.9499187199999998e-05
,,,,,,,,,,,,,100,33.05006699999999,2.9499187199999998e-05
,,,,,,,,,,,,,100,58.071079999999995,2.9499187199999998e-05
,,,,,,,,,,,,,100,54.953579,2.9499187199999998e-05
,,,,,,,,,,,,,100,33.425811,2.9499187199999998e-05
,,,,,,,,,,,,,100,0.0913879999999978,2.9499187199999998e-05
,,,,,,,,,,,,,100,5.012736999999989,2.9499187199999998e-05
,,,,,,,,,,,,,100,0.9293749999999962,2.9499187199999998e-05
ten_samples,10,1821.752106666565,1808.2656965255737," 0 0 2550 1590
",666900,21%,2310000," 22459 um.
",18.039819999999995,connect9,7.379013448275863,7.039820000000001,24,61.19561193976868,0.000264263552
,,,,,,,,,,,,,69,85.02284392621782,0.000726724768
,,,,,,,,,,,,,100,68.93359781349778,0.0007597577119999999
,,,,,,,,,,,,,85,5.025260480821928,0.0009359334133333331
,,,,,,,,,,,,,96,21.064939882869517,0.001057054208
,,,,,,,,,,,,,66,56.70121999545547,0.001101098133333333
,,,,,,,,,,,,,152,56.27603554742608,0.0014314275733333332
,,,,,,,,,,,,,130,9.639734936599352,0.0016736691626666662
,,,,,,,,,,,,,215,1.2743899749456613,0.002026020565333334
,,,,,,,,,,,,,184,13.952193468542964,0.0023673609866666665
ten_samples,10,1821.1318626403809,1807.8518652915955," 0 0 2550 1590
",1480500,46%,2730000," 21289 um.
",14.283999999999995,connect5,7.298587241379308,7.60991,5,16.69822974731328,0.00139236163584
,,,,,,,,,,,,,50,14.409252662607846,0.013923616358399995
,,,,,,,,,,,,,65,23.446335276665312,0.01810070126592
,,,,,,,,,,,,,90,6.689890738609326,0.019214590574592
,,,,,,,,,,,,,69,26.15711280394383,0.020328479883264004
,,,,,,,,,,,,,73,10.480857370387021,0.024505564790784
,,,,,,,,,,,,,97,1.4857428088775564,0.025062509445120007
,,,,,,,,,,,,,88,1.8412370728536465,0.027011815735295996
,,,,,,,,,,,,,231,1.3076361197998874,0.06432710757580799
,,,,,,,,,,,,,236,1.5477970368045906,0.06571946921164801
