Name,Number of Samples,Runtime [s],Time to Best Design [s],Die Area,Design Area,% Area Utilization,Maximum X Coordinate,Total Wire Length,Max Wire Length,Max Wire Location,Mean Wire Length,Median Wire Length,Concentrations,Concentration Error [%],Channel Volume [mL],Required Volume [mL]
nine_samples,9,1887.7838084697723,1876.9303841590881," 0 0 2850 1900
",1400400,29%,2100000,177.82983999999993,18.611819999999994,connect1,6.839609230769228,6.698955,5,46.081998882892215,0.00130976391168,0.00130976391168
,,,,,,,,,,,,,17,58.39008294357713,0.00038522467990588234,0.004453197299712
,,,,,,,,,,,,,89,67.74172138583367,9.630616997647058e-05,0.017812789198848
,,,,,,,,,,,,,86,65.1541505085982,7.614906463255813e-05,0.02252793928089601
,,,,,,,,,,,,,68,42.10106032442311,7.614906463255813e-05,0.02252793928089601
,,,,,,,,,,,,,98,19.075782429435616,7.358224222921347e-05,0.023313797627904004
,,,,,,,,,,,,,86,33.27854352360268,6.682468937142858e-05,0.025671372668927998
,,,,,,,,,,,,,222,7.344537164335323,3.1184855039999996e-05,0.05501008429056002
,,,,,,,,,,,,,210,67.7127315373156,2.9499187199999998e-05,0.05815351767859202
nine_samples,9,3732.2708778381348,3719.6713247299194," 0 0 2850 1900
",1400400,29%,2670000,177.82983999999993,18.611819999999994,connect1,6.839609230769228,6.698955,5,16.254296019466572,0.00130976391168,0.00130976391168
,,,,,,,,,,,,,17,30.218703115890396,0.00038522467990588234,0.004453197299712
,,,,,,,,,,,,,89,14.954732148802968,9.630616997647058e-05,0.017812789198848
,,,,,,,,,,,,,86,26.717093191867963,7.614906463255813e-05,0.02252793928089601
,,,,,,,,,,,,,68,3.2920038497649116,7.614906463255813e-05,0.02252793928089601
,,,,,,,,,,,,,98,7.505777231535787,7.358224222921347e-05,0.023313797627904004
,,,,,,,,,,,,,86,22.133462061218165,6.682468937142858e-05,0.025671372668927998
,,,,,,,,,,,,,222,10.791223175804534,3.1184855039999996e-05,0.05501008429056002
,,,,,,,,,,,,,210,8.260993709263175,2.9499187199999998e-05,0.05815351767859202
nine_samples,9,1870.2379343509674,1858.0910761356354," 0 0 2850 1900
",1400400,29%,2310000,170.64112000000006,15.471639999999997,connect1,6.563120000000002,5.297865,5,47.58742073204038,0.00130976391168,0.00130976391168
,,,,,,,,,,,,,17,57.57889926799249,0.00038522467990588234,0.004453197299712
,,,,,,,,,,,,,89,61.388972497513116,9.630616997647058e-05,0.017812789198848
,,,,,,,,,,,,,86,55.28510060046293,7.614906463255813e-05,0.02252793928089601
,,,,,,,,,,,,,68,53.005260389268805,7.614906463255813e-05,0.02252793928089601
,,,,,,,,,,,,,98,21.931902760964817,7.358224222921347e-05,0.023313797627904004
,,,,,,,,,,,,,86,41.8607834804948,6.682468937142858e-05,0.025671372668927998
,,,,,,,,,,,,,222,13.86778597858272,3.1184855039999996e-05,0.05501008429056002
,,,,,,,,,,,,,210,69.66674230567541,2.9499187199999998e-05,0.05815351767859202
nine_samples,9,3861.2251970767975,3849.93256688118," 0 0 2850 1900
",1400400,29%,2730000,170.64112000000006,15.471639999999997,connect1,6.563120000000002,5.297865,5,17.05951911505329,0.00130976391168,0.00130976391168
,,,,,,,,,,,,,17,23.496427544211944,0.00038522467990588234,0.004453197299712
,,,,,,,,,,,,,89,11.518486747817125,9.630616997647058e-05,0.017812789198848
,,,,,,,,,,,,,86,8.906770740762177,7.614906463255813e-05,0.02252793928089601
,,,,,,,,,,,,,68,16.101508609981828,7.614906463255813e-05,0.02252793928089601
,,,,,,,,,,,,,98,25.180312481779886,7.358224222921347e-05,0.023313797627904004
,,,,,,,,,,,,,86,17.240458073254807,6.682468937142858e-05,0.025671372668927998
,,,,,,,,,,,,,222,1.4700760584092865,3.1184855039999996e-05,0.05501008429056002
,,,,,,,,,,,,,210,2.4323013013639923,2.9499187199999998e-05,0.05815351767859202
nine_samples,9,3714.5122141838074,3703.1354818344116," 0 0 2850 1900
",1400400,29%,3450000,170.64112000000006,15.471639999999997,connect1,6.563120000000002,5.297865,5,7.155432685446058,0.00130976391168,0.00130976391168
,,,,,,,,,,,,,17,7.133121202306143,0.00038522467990588234,0.004453197299712
,,,,,,,,,,,,,89,17.562139000547,9.630616997647058e-05,0.017812789198848
,,,,,,,,,,,,,86,14.01214478926942,7.614906463255813e-05,0.02252793928089601
,,,,,,,,,,,,,68,9.478419342661336,7.614906463255813e-05,0.02252793928089601
,,,,,,,,,,,,,98,2.16602157341249,7.358224222921347e-05,0.023313797627904004
,,,,,,,,,,,,,86,19.205144716386787,6.682468937142858e-05,0.025671372668927998
,,,,,,,,,,,,,222,0.2193169825044735,3.1184855039999996e-05,0.05501008429056002
,,,,,,,,,,,,,210,3.12545900298262,2.9499187199999998e-05,0.05815351767859202
