Name,Number of Samples,Runtime [s],Time to Best Design [s],Die Area,Design Area,% Area Utilization,Maximum X Coordinate,Total Wire Length,Max Wire Length,Max Wire Location,Mean Wire Length,Median Wire Length,Concentrations,Concentration Error [%],Required Volume [mL]
nine_samples,9,1820.04701089859,1807.0500733852386," 0 0 2550 1590
",388800,12%,3750000," 18051 um.
",15.305909999999995,connect8,6.981976538461538,6.626865000000001,100,10.372003303720039,2.9499187199999998e-05
,,,,,,,,,,,,,100,13.20336760203367,2.9499187199999998e-05
,,,,,,,,,,,,,100,27.432472684324726,2.9499187199999998e-05
,,,,,,,,,,,,,100,10.713502097135017,2.9499187199999998e-05
,,,,,,,,,,,,,100,13.153239131532382,2.9499187199999998e-05
,,,,,,,,,,,,,100,6.126515161265158,2.9499187199999998e-05
,,,,,,,,,,,,,100,0.06233220062332435,2.9499187199999998e-05
,,,,,,,,,,,,,100,12.434341624343418,2.9499187199999998e-05
,,,,,,,,,,,,,100,9.200920592009211,2.9499187199999998e-05
nine_samples,9,1897.5944194793701,1885.130591392517," 0 0 2550 1590
",406800,13%,2640000," 16640 um.
",15.533909999999999,connect8,6.617969615384614,6.427910000000001,50,2.327330406726693,5.8998374399999996e-05
,,,,,,,,,,,,,100,24.513222429867774,0.00011799674879999999
,,,,,,,,,,,,,100,14.922110250778909,0.00011799674879999999
,,,,,,,,,,,,,100,16.967758055322417,0.00011799674879999999
,,,,,,,,,,,,,100,17.900205070997963,0.00011799674879999999
,,,,,,,,,,,,,100,0.17620329823797426,0.00011799674879999999
,,,,,,,,,,,,,100,1.898447781015524,0.00011799674879999999
,,,,,,,,,,,,,100,4.23721765762782,0.00011799674879999999
,,,,,,,,,,,,,100,1.183122638168771,0.00011799674879999999
nine_samples,9,1843.3745906352997,1831.109798192978," 0 0 2550 1590
",1337400,42%,2550000," 15920 um.
",12.283819999999997,connect0,6.372364615384615,6.626865000000002,5,2.633182762138155,0.00133926309888
,,,,,,,,,,,,,76,32.5638801672969,0.016339009806336003
,,,,,,,,,,,,,61,35.48288111546634,0.017142567665663997
,,,,,,,,,,,,,64,25.39491652423728,0.020356799102975998
,,,,,,,,,,,,,88,14.028911089259413,0.023571030540287998
,,,,,,,,,,,,,176,19.19570597062744,0.03160660913356799
,,,,,,,,,,,,,118,16.41055173705689,0.047142061080575996
,,,,,,,,,,,,,201,13.789885138927868,0.05383837657497599
,,,,,,,,,,,,,227,2.159001759873097,0.06080254468915199
