Name,Number of Samples,Runtime [s],Die Area,Design Area,% Area Utilization,Total Wire Length,Concentrations,Concentration Error [%]
five_samples,5,1516.7791340351105," 0 0 2550 1590
",212400,7%," 7854 um.
",100,1.9503464999999913
,,,,,,,100,1.2788814999999953
,,,,,,,100,2.693440500000005
,,,,,,,100,2.6437680000000046
,,,,,,,100,2.107980499999995
five_samples,5,1248.9932188987732," 0 0 2550 1590
",212400,7%," 7854 um.
",99,0.43139458052723884
,,,,,,,100,2.0763020906104215
,,,,,,,100,2.216365403730914
,,,,,,,100,2.5114844850918714
,,,,,,,100,2.2244621777957065
five_samples,5,1209.8204927444458," 0 0 2550 1590
",212400,7%," 7854 um.
",98,1.6936334511679227
,,,,,,,100,2.306636432754233
,,,,,,,100,1.0569357930084828
,,,,,,,100,0.5460425657538122
,,,,,,,100,1.1577643604402543
five_samples,5,1257.179824590683," 0 0 2550 1590
",212400,7%," 7854 um.
",97,0.879604416700572
,,,,,,,100,2.1012017261406655
,,,,,,,100,0.8540105216889757
,,,,,,,100,0.7457490098268905
,,,,,,,100,1.3562424493273704
five_samples,5,1189.3410646915436," 0 0 2550 1590
",212400,7%," 7854 um.
",96,1.7759388233609195
,,,,,,,100,0.13484107415745047
,,,,,,,100,1.08833065741329
,,,,,,,100,2.3341428053462825
,,,,,,,100,0.32425306118804303
five_samples,5,1841.1891102790833," 0 0 2550 1590
",230400,7%," 6804 um.
",50,2.3964858239648574
,,,,,,,100,0.9584194595841964
,,,,,,,100,0.658661406586609
,,,,,,,100,3.0202497302024995
,,,,,,,100,2.6014072760140743
five_samples,5,1814.5970284938812," 0 0 2550 1590
",230400,7%," 6804 um.
",49,2.366449069653642
,,,,,,,100,2.9677261046129595
,,,,,,,100,2.6740495736408243
,,,,,,,100,0.9302256247442101
,,,,,,,100,3.551990046568036
five_samples,5,1847.252474784851," 0 0 2550 1590
",230400,7%," 6804 um.
",48,0.0432450655134733
,,,,,,,100,0.06816319869126201
,,,,,,,100,0.2753537867132097
,,,,,,,100,3.0719516210185214
,,,,,,,100,2.8440123613949644
five_samples,5,1818.7807841300964," 0 0 2550 1590
",230400,7%," 6804 um.
",47,1.8556359236223463
,,,,,,,100,0.155202867594362
,,,,,,,100,0.49795307528173166
,,,,,,,100,2.84188068095084
,,,,,,,100,3.0608780465563936
five_samples,5,470.12776613235474," 0 0 2550 1590
",230400,7%," 6804 um.
",46,2.6081411873160234
,,,,,,,100,1.5576050246359303
,,,,,,,100,1.8955410035668898
,,,,,,,100,1.397381757039276
,,,,,,,100,0.856014923159778
five_samples,5,426.1493227481842," 0 0 2550 1590
",230400,7%," 6804 um.
",45,1.1542316531452474
,,,,,,,100,0.49946488749732415
,,,,,,,100,1.3972252469861302
,,,,,,,100,1.612943893064711
,,,,,,,100,0.803150244015754
five_samples,5,587.3590703010559," 0 0 2550 1590
",1261800,39%," 6414 um.
",5,2.3788894460622307
,,,,,,,11,2.803829841774859
,,,,,,,53,2.5924630554872268
,,,,,,,94,0.47386468468233806
,,,,,,,209,0.6487744041788186
five_samples,5,1243.2521798610687," 0 0 2550 1590
",1463400,46%," 6894 um.
",4,0.6658031640738472
,,,,,,,11,2.6403948113971296
,,,,,,,53,0.7178829143576692
,,,,,,,94,0.5182897673423433
,,,,,,,209,0.20277049308137277
five_samples,5,1195.7200062274933," 0 0 2550 1590
",1589400,49%," 9925 um.
",3,0.7956724810097531
,,,,,,,11,1.8649711921366243
,,,,,,,53,1.7587496624622618
,,,,,,,94,0.6362260314291546
,,,,,,,209,0.26942833724866816
five_samples,5,1216.03644490242," 0 0 2550 1590
",1589400,49%," 9925 um.
",2,1.1373817584708672
,,,,,,,11,2.0200380405430325
,,,,,,,53,0.21181783041374003
,,,,,,,94,2.6877822334745427
,,,,,,,209,1.1453717706805988
