Name,Number of Samples,Runtime [s],Time to Best Design [s],Die Area,Design Area,% Area Utilization,Maximum X Coordinate,Total Wire Length,Max Wire Length,Max Wire Location,Mean Wire Length,Median Wire Length,Concentrations,Concentration Error [%],Required Volume [mL]
six_samples,6,1835.622142791748,1824.8074085712433," 0 0 2550 1590
",256500,8%,1830000," 9083 um.
",9.949909999999996,connect3,5.5422682352941175,5.61391,100,2.8204547435908878,2.9499187199999998e-05
,,,,,,,,,,,,,100,2.2821527543569426,2.9499187199999998e-05
,,,,,,,,,,,,,100,3.737568525248631,2.9499187199999998e-05
,,,,,,,,,,,,,100,3.452481530950381,2.9499187199999998e-05
,,,,,,,,,,,,,100,1.2742259745154643,2.9499187199999998e-05
,,,,,,,,,,,,,100,0.8132051837358852,2.9499187199999998e-05
six_samples,6,1822.3210446834564,1810.7257943153381," 0 0 2550 1590
",274500,9%,1590000," 10103 um.
",10.695999999999994,connect3,6.330728235294118,6.471820000000003,50,3.6859183168591754,5.8998374399999996e-05
,,,,,,,,,,,,,100,3.073248230732491,0.00011799674879999999
,,,,,,,,,,,,,100,1.037574460375752,0.00011799674879999999
,,,,,,,,,,,,,100,1.5780424157804114,0.00011799674879999999
,,,,,,,,,,,,,100,2.861690178616888,0.00011799674879999999
,,,,,,,,,,,,,100,2.1718636717186555,0.00011799674879999999
six_samples,6,1815.9917335510254,1805.1265215873718," 0 0 2550 1590
",591300,18%,2220000," 8634 um.
",7.92591,soln6,5.216364705882352,5.101909999999998,17,1.5586994871087527,0.00038348943359999997
,,,,,,,,,,,,,32,3.1046006492911684,0.0007218624632470587
,,,,,,,,,,,,,81,13.068475463663187,0.0018272143600941175
,,,,,,,,,,,,,90,1.5072869426128486,0.002030238177882353
,,,,,,,,,,,,,112,7.945920057432995,0.0025265186213647055
,,,,,,,,,,,,,221,0.8073039238427329,0.004985362636799999
six_samples,6,1822.617305278778,1809.6986451148987," 0 0 2550 1590
",1277100,40%,1980000," 11454 um.
",14.277909999999997,connect0,6.4573270588235285,6.723819999999998,5,0.7551351791783678,0.0014631596851199997
,,,,,,,,,,,,,29,4.307010708968035,0.008486326173696
,,,,,,,,,,,,,72,7.1054606345856755,0.014631596851199996
,,,,,,,,,,,,,81,1.1672690209419485,0.02106949946572799
,,,,,,,,,,,,,50,1.9229579299625192,0.023703186898943993
,,,,,,,,,,,,,248,2.2405977030439246,0.07257272038195198
