Name,Number of Samples,Runtime [s],Time to Best Design [s],Die Area,Design Area,% Area Utilization,Maximum X Coordinate,Total Wire Length,Max Wire Length,Max Wire Location,Mean Wire Length,Median Wire Length,Concentrations,Concentration Error [%],Required Volume [mL]
seven_samples,7,1831.5940601825714,1818.0242919921875," 0 0 2550 1590
",300600,9%,3000000," 13852 um.
",12.567819999999998,connect6,6.6901009999999985,6.76991,100,16.687297533745944,2.9499187199999998e-05
,,,,,,,,,,,,,100,0.0572418011448407,2.9499187199999998e-05
,,,,,,,,,,,,,100,13.043929760878594,2.9499187199999998e-05
,,,,,,,,,,,,,100,2.8411061568221334,2.9499187199999998e-05
,,,,,,,,,,,,,100,1.3183618263672319,2.9499187199999998e-05
,,,,,,,,,,,,,100,3.698622973972463,2.9499187199999998e-05
,,,,,,,,,,,,,100,1.6352273327045357,2.9499187199999998e-05
seven_samples,7,1829.4449598789215,1816.5539135932922," 0 0 2550 1590
",318600,10%,2550000," 12652 um.
",12.795819999999999,connect6,6.390692,6.513910000000001,50,0.9015783039368669,5.8998374399999996e-05
,,,,,,,,,,,,,100,7.2116435802910885,0.00011799674879999999
,,,,,,,,,,,,,100,0.13018070325451642,0.00011799674879999999
,,,,,,,,,,,,,100,2.6466765661669203,0.00011799674879999999
,,,,,,,,,,,,,100,3.1537851288446337,0.00011799674879999999
,,,,,,,,,,,,,100,4.15069145376729,0.00011799674879999999
,,,,,,,,,,,,,100,2.158525903963135,0.00011799674879999999
seven_samples,7,1831.6790430545807,1820.2761557102203," 0 0 2550 1590
",734400,23%,1860000," 9382 um.
",9.609909999999996,connect6,5.1853964999999995,4.404955000000001,23,3.191205867812768,0.0002975570187130435
,,,,,,,,,,,,,33,5.361255899303146,0.00037518058881209833
,,,,,,,,,,,,,56,4.260356521455869,0.00042692963554480156
,,,,,,,,,,,,,29,0.5826193271454858,0.0007244866542578452
,,,,,,,,,,,,,232,0.49982336562439816,0.001565408663664272
,,,,,,,,,,,,,204,0.5662152055125912,0.002639201383367864
,,,,,,,,,,,,,121,0.23740604904857915,0.0030014447104967867
seven_samples,7,1820.5992169380188,1808.3837025165558," 0 0 2550 1590
",1202400,37%,1980000," 9113 um.
",10.663999999999998,soln1,5.0515099999999995,3.69191,5,1.0837252146698004,0.0011858673254399998
,,,,,,,,,,,,,44,2.1551479506693147,0.010435632463872
,,,,,,,,,,,,,55,1.759398272517396,0.012807367114751994
,,,,,,,,,,,,,59,4.18525819711843,0.013044540579839996
,,,,,,,,,,,,,81,3.1132179436683094,0.01399323444019199
,,,,,,,,,,,,,54,2.5183039051678326,0.01921105067212799
,,,,,,,,,,,,,201,0.8113052348004859,0.04767186648268798
