Name,Number of Samples,Runtime [s],Time to Best Design [s],Die Area,Design Area,% Area Utilization,Maximum X Coordinate,Total Wire Length,Max Wire Length,Max Wire Location,Mean Wire Length,Median Wire Length,Concentrations,Concentration Error [%],Channel Volume [mL],Required Volume [mL]
nitrite,3,10.300118207931519,10.259485483169556," 0 0 2550 1590
",94500,3%,0,41.85546000000001,9.580000000000002,connect0,5.231932500000001,4.56191,9.999999999999999e-05,0.7648100000000047,6.63731712e-05,6.63731712e-05
,,,,,,,,,,,,,4.9999999999999996e-05,1.741218,3.6873983999999998e-06,0.0011947170816
,,,,,,,,,,,,,4.9999999999999996e-05,0.48820379999999775,1.8436991999999999e-06,0.0023894341632
