Name,Number of Samples,Runtime [s],Time to Best Design [s],Die Area,Design Area,% Area Utilization,Maximum X Coordinate,Total Wire Length,Max Wire Length,Max Wire Location,Mean Wire Length,Median Wire Length,Concentrations,Concentration Error [%],Channel Volume [mL],Required Volume [mL]
ketone_v2,2,12.568122386932373,12.541971921920776," 0 0 2550 1590
",55800,2%,0," 1348 um.
",5.929910000000001,soln2,3.289492,3.1939100000000002,4.9999999999999996e-05,2.019128400000003,3.31865856e-05,3.31865856e-05
,,,,,,,,,,,,,4.9999999999999996e-05,2.019128400000003,1.8436991999999999e-06,0.0005973585408
