Name,Number of Samples,Runtime [s],Time to Best Design [s],Die Area,Design Area,% Area Utilization,Total Wire Length,Max Wire Length,Max Wire Location,Mean Wire Length,Median Wire Length,Concentrations,Concentration Error [%]
seven_samples,7,1857.8960700035095,1844.2449617385864," 0 0 2550 1590
",300600,9%," 13852 um.
",12.567819999999998,connect6,6.6901009999999985,6.76991,99,6.167848965162258
,,,,,,,,,,,,100,5.257577998612069
,,,,,,,,,,,,100,2.593485655681563
,,,,,,,,,,,,100,3.466784779023731
,,,,,,,,,,,,100,0.37806672262394525
,,,,,,,,,,,,100,2.3231795663851433
,,,,,,,,,,,,100,2.51044655474093
seven_samples,7,1840.0503504276276,1827.2258682250977," 0 0 2550 1590
",300600,9%," 13852 um.
",12.567819999999998,connect6,6.6901009999999985,6.76991,98,5.3459889751615215
,,,,,,,,,,,,100,5.106994322747373
,,,,,,,,,,,,100,2.4467132856199205
,,,,,,,,,,,,100,3.318763049109594
,,,,,,,,,,,,100,0.5205879281741297
,,,,,,,,,,,,100,2.4629180531272903
,,,,,,,,,,,,100,2.649917133442526
seven_samples,7,1888.4888141155243,1875.8235001564026," 0 0 2550 1590
",300600,9%," 13852 um.
",12.567819999999998,connect6,6.6901009999999985,6.76991,97,5.203551308470221
,,,,,,,,,,,,100,4.191028327335196
,,,,,,,,,,,,100,1.5539301670109749
,,,,,,,,,,,,100,1.9421250220077697
,,,,,,,,,,,,100,0.8822668001747213
,,,,,,,,,,,,100,0.08910726983560147
,,,,,,,,,,,,100,0.45146572830020426
seven_samples,7,1819.4957451820374,1806.3654232025146," 0 0 2550 1590
",300600,9%," 13852 um.
",12.567819999999998,connect6,6.6901009999999985,6.76991,96,4.353509866489059
,,,,,,,,,,,,100,4.041541873865864
,,,,,,,,,,,,100,1.4082272490126528
,,,,,,,,,,,,100,2.0828120293300056
,,,,,,,,,,,,100,0.7375275407201864
,,,,,,,,,,,,100,0.23245286548770486
,,,,,,,,,,,,100,0.30734455396700044
seven_samples,7,1843.8254804611206,1831.9505338668823," 0 0 2550 1590
",300600,9%," 13852 um.
",12.567819999999998,connect6,6.6901009999999985,6.76991,95,13.115528384713945
,,,,,,,,,,,,100,6.102747133489827
,,,,,,,,,,,,100,18.576209079355017
,,,,,,,,,,,,100,8.05005028672575
,,,,,,,,,,,,100,4.782337464343907
,,,,,,,,,,,,100,2.463332320718315
,,,,,,,,,,,,100,1.8501421518270704
seven_samples,7,1931.6517503261566,1919.0859532356262," 0 0 2550 1590
",318600,10%," 12652 um.
",12.795819999999999,connect6,6.390692,6.513910000000001,49,10.085536875981523
,,,,,,,,,,,,100,10.539096410251094
,,,,,,,,,,,,100,7.582986334655562
,,,,,,,,,,,,100,0.3237640443604408
,,,,,,,,,,,,100,1.337385256796332
,,,,,,,,,,,,100,6.891378164524101
,,,,,,,,,,,,100,3.244444559822215
seven_samples,7,1814.5106942653656,1801.586933851242," 0 0 2550 1590
",318600,10%," 12652 um.
",12.795819999999999,connect6,6.390692,6.513910000000001,48,11.350546689280057
,,,,,,,,,,,,100,11.357808163361307
,,,,,,,,,,,,100,6.598428379703897
,,,,,,,,,,,,100,2.7658447499591685
,,,,,,,,,,,,100,0.8330234273380484
,,,,,,,,,,,,100,7.231768018077118
,,,,,,,,,,,,100,2.9440116992510292
seven_samples,7,1862.2173433303833,1849.1649718284607," 0 0 2550 1590
",318600,10%," 12652 um.
",12.795819999999999,connect6,6.390692,6.513910000000001,47,7.822436224730356
,,,,,,,,,,,,100,8.09733221850922
,,,,,,,,,,,,100,8.4858356499707
,,,,,,,,,,,,100,0.7865391136398072
,,,,,,,,,,,,100,2.2653947337177747
,,,,,,,,,,,,100,0.5833177136754568
,,,,,,,,,,,,100,2.0028939015140326
seven_samples,7,1850.23614859581,1838.8006150722504," 0 0 2550 1590
",318600,10%," 12652 um.
",12.795819999999999,connect6,6.390692,6.513910000000001,46,9.996133830416298
,,,,,,,,,,,,100,8.239372847689461
,,,,,,,,,,,,100,8.318164822508935
,,,,,,,,,,,,100,0.6307679725600082
,,,,,,,,,,,,100,2.4164489431310647
,,,,,,,,,,,,100,0.7369716656644959
,,,,,,,,,,,,100,2.154353820405259
seven_samples,7,1883.4408113956451,1870.8333942890167," 0 0 2550 1590
",318600,10%," 12652 um.
",12.795819999999999,connect6,6.390692,6.513910000000001,45,12.266438327105032
,,,,,,,,,,,,100,8.38141829823716
,,,,,,,,,,,,100,8.150488303699031
,,,,,,,,,,,,100,0.4749915440500265
,,,,,,,,,,,,100,2.567508279864991
,,,,,,,,,,,,100,0.8906308332187405
,,,,,,,,,,,,100,2.305818880388353
seven_samples,7,1837.2936186790466,1826.192129611969," 0 0 2550 1590
",608400,19%," 12233 um.
",12.653909999999998,connect7,6.208692,6.36782,20,4.510515565258146
,,,,,,,,,,,,51,3.5662023201416084
,,,,,,,,,,,,87,3.1087787213089446
,,,,,,,,,,,,47,2.2911842487038996
,,,,,,,,,,,,193,1.7229895210518855
,,,,,,,,,,,,168,2.8216028731622695
,,,,,,,,,,,,160,0.6943227025617275
seven_samples,7,1816.035029888153,1803.1973950862885," 0 0 2550 1590
",608400,19%," 12233 um.
",12.653909999999998,connect7,6.208692,6.36782,19,2.3854309361275052
,,,,,,,,,,,,51,1.0281179664399165
,,,,,,,,,,,,87,12.435597186033425
,,,,,,,,,,,,47,1.1974808333333267
,,,,,,,,,,,,193,0.13945193444948545
,,,,,,,,,,,,168,1.3119850180477408
,,,,,,,,,,,,160,2.5837688654952173
