Name,Number of Samples,Runtime [s],Time to Best Design [s],Die Area,Design Area,% Area Utilization,Maximum X Coordinate,Total Wire Length,Max Wire Length,Max Wire Location,Mean Wire Length,Median Wire Length,Concentrations,Concentration Error [%],Required Volume [mL]
five_samples,5,707.9157366752625,707.8832185268402," 0 0 2550 1590
",212400,7%,2130000," 7854 um.
",8.51982,connect0,5.496592142857144,5.56982,100,2.5590940000000115,2.9499187199999998e-05
,,,,,,,,,,,,,100,1.8831594999999952,2.9499187199999998e-05
,,,,,,,,,,,,,100,1.6296829999999929,2.9499187199999998e-05
,,,,,,,,,,,,,100,0.20223399999999558,2.9499187199999998e-05
,,,,,,,,,,,,,100,1.1559824999999995,2.9499187199999998e-05
five_samples,5,2322.7817571163177,2310.3239629268646," 0 0 2550 1590
",230400,7%,1980000," 6804 um.
",10.059819999999995,connect2,4.930890714285712,4.561910000000001,50,3.888505838885058,5.8998374399999996e-05
,,,,,,,,,,,,,100,0.23897610238976147,0.00011799674879999999
,,,,,,,,,,,,,100,1.3073665630736626,0.00011799674879999999
,,,,,,,,,,,,,100,0.4126815041268115,0.00011799674879999999
,,,,,,,,,,,,,100,2.599966375999662,0.00011799674879999999
five_samples,5,345.78541016578674,345.750440120697," 0 0 2550 1590
",676800,21%,2040000," 7524 um.
",11.087819999999999,connect0,5.599163571428572,5.3288649999999995,6,1.4917789852515626,0.0006735647744000002
,,,,,,,,,,,,,80,1.6182230666169097,0.0032555630762666683
,,,,,,,,,,,,,29,1.8645486811454905,0.00898086365866667
,,,,,,,,,,,,,137,0.8924938040442291,0.012685469917866671
,,,,,,,,,,,,,113,2.2328088798477905,0.015379729015466677
five_samples,5,1816.1247019767761,1805.1944816112518," 0 0 2550 1590
",1078200,34%,1890000," 6775 um.
",10.663999999999998,soln1,4.874630714285714,4.7780000000000005,5,1.9806500987740037,0.0012802647244799996
,,,,,,,,,,,,,27,4.391697818035803,0.006913429512191997
,,,,,,,,,,,,,59,3.074476607373095,0.015107123748863992
,,,,,,,,,,,,,69,1.2863901304239747,0.017667653197823992
,,,,,,,,,,,,,217,0.07391423739971234,0.05556348904243197
