Name,Number of Samples,Runtime [s],Time to Best Design [s],Die Area,Design Area,% Area Utilization,Maximum X Coordinate,Total Wire Length,Max Wire Length,Max Wire Location,Mean Wire Length,Median Wire Length,Concentrations,Concentration Error [%],Channel Volume [mL],Required Volume [mL]
ten_samples,10,3769.6157219409943,3757.600448846817," 0 0 2850 1900
",450900,9%,3960000,187.58112,15.98782,connect6,6.468314482758621,6.385910000000002,50,27.030544209389113,5.8998374399999996e-05,5.8998374399999996e-05
,,,,,,,,,,,,,100,76.12204906255903,2.9499187199999998e-05,0.00011799674879999999
,,,,,,,,,,,,,100,56.33190709836185,2.9499187199999998e-05,0.00011799674879999999
,,,,,,,,,,,,,100,34.07642616847147,2.9499187199999998e-05,0.00011799674879999999
,,,,,,,,,,,,,100,62.00326305993475,2.9499187199999998e-05,0.00011799674879999999
,,,,,,,,,,,,,100,19.551398608972043,2.9499187199999998e-05,0.00011799674879999999
,,,,,,,,,,,,,100,4.047222219055557,2.9499187199999998e-05,0.00011799674879999999
,,,,,,,,,,,,,100,2.9196814916063603,2.9499187199999998e-05,0.00011799674879999999
,,,,,,,,,,,,,100,15.698198686036038,2.9499187199999998e-05,0.00011799674879999999
,,,,,,,,,,,,,100,13.512380779752394,2.9499187199999998e-05,0.00011799674879999999
