Name,Number of Samples,Runtime [s],Die Area,Design Area,% Area Utilization,Total Wire Length,Concentrations,Concentration Error [%]
nine_samples,9,1836.7196316719055," 0 0 2550 1590
",804600,25%," 15650 um.
",25,14.508223577898033
,,,,,,,74,3.4326262234899096
,,,,,,,58,4.928493640638661
,,,,,,,29,5.100685533633807
,,,,,,,84,4.494162431322979
,,,,,,,211,0.759155488823029
,,,,,,,118,1.9548374872224827
,,,,,,,231,9.302788394969872
,,,,,,,115,9.775364495915714
nine_samples,9,1849.3627696037292," 0 0 2550 1590
",860400,27%," 16340 um.
",14,20.095673948428832
,,,,,,,70,5.177738106608113
,,,,,,,72,9.936698673736274
,,,,,,,96,1.8524769849549358
,,,,,,,27,3.159138694243692
,,,,,,,216,2.977185202363013
,,,,,,,230,5.232602828891249
,,,,,,,208,1.5232907605072736
,,,,,,,203,0.9962937259362472
