,wire,length (mm)
0,connect0,{'': 19.46382}
1,connect1,{'': 17.127819999999996}
2,connect2,{'': 6.239819999999998}
3,connect3,{'': 2.1939099999999994}
4,connect4,{'': 7.637909999999999}
5,connect5,{'': 6.267819999999998}
6,out,{'': 5.276000000000002}
7,soln1,{'': 11.829909999999996}
8,soln2,{'': 12.288}
9,soln3,{'': 3.42191}
10,soln4,{'': 7.188000000000002}
