,wire,length (mm)
0,connect0,{'': 2.335820000000001}
1,connect1,{'': 13.918089999999994}
2,connect2,{'': 5.071820000000001}
3,connect3,{'': 10.268}
4,connect4,{'': 13.008179999999992}
5,connect5,{'': 9.414089999999998}
6,out,{'': 5.650090000000001}
7,soln1,{'': 14.53791}
8,soln2,{'': 4.1080000000000005}
9,soln3,{'': 6.157909999999999}
10,soln4,{'': 9.293909999999999}
