overflow,init_wire_coef,init_density_coef,max_phi,bin,density
0.1,1000,1000,1.01,20,0.8,False
0.08,1000,1000,1.01,20,0.8,False
0.06,1000,1000,1.01,20,0.8,False
0.04,1000,1000,1.01,20,0.8,False
0.1,0.01,0.01,1.04,24,0.8,False
0.08,0.01,0.01,1.04,24,0.8,False
0.06,0.01,0.01,1.04,24,0.8,False
0.04,0.01,0.01,1.04,24,0.8,False
0.1,0.01,0.1,1.04,24,0.8,False
0.08,0.01,0.1,1.04,24,0.8,False
0.06,0.01,0.1,1.04,24,0.8,False
0.04,0.01,0.1,1.04,24,0.8,False
0.1,0.01,1,1.04,24,0.8,False
0.08,0.01,1,1.04,24,0.8,False
0.06,0.01,1,1.04,24,0.8,False
0.04,0.01,1,1.04,24,0.8,True
0.1,0.01,10,1.04,24,0.8,True
0.08,0.01,10,1.04,24,0.8,True
0.06,0.01,10,1.04,24,0.8,True
0.04,0.01,10,1.04,24,0.8,True
