,wire,length (mm)
0,connect0,{'': 9.663819999999998}
1,connect1,{'': 1.6819099999999985}
2,out,{'': 2.5939099999999984}
3,soln1,{'': 6.360000000000002}
4,soln2,{'': 5.476000000000002}
