,wire,length (mm)
0,connect0,{'': 6.011819999999999}
1,connect1,{'': 1.6819099999999985}
2,out,{'': 2.5939099999999984}
3,soln1,{'': 5.24591}
4,soln2,{'': 5.473910000000002}
