,wire,length (mm)
0,connect0,{'': 4.35982}
1,connect1,{'': 5.90191}
2,connect2,{'': 2.41982}
3,connect3,{'': 1.9379099999999978}
4,out,{'': 3.67791}
5,soln1,{'': 3.6800000000000024}
6,soln2,{'': 3.8800000000000026}
7,soln3,{'': 7.29791}
