,wire,length (mm)
0,connect0,{'': 7.09582}
1,connect1,{'': 1.4539099999999987}
2,connect2,{'': 1.9659100000000005}
3,connect3,{'': 1.4798199999999975}
4,out,{'': 3.2779099999999994}
5,soln1,{'': 2.9659100000000005}
6,soln2,{'': 3.8779100000000017}
7,soln3,{'': 5.47391}
