,wire,length (mm)
0,connect0,{'': 1.6798199999999985}
1,connect1,{'': 2.1379099999999998}
2,out,{'': 3.505909999999999}
3,soln1,{'': 3.1939100000000002}
4,soln2,{'': 5.929910000000001}
