Index       TIME              V(42)      
0        0.00000000e+00    4.10325433e-02
1        5.00000000e-07    4.10325433e-02
2        1.50000000e-06    4.10325433e-02
3        3.50000000e-06    4.10325433e-02
4        7.50000000e-06    4.10325433e-02
5        1.55000000e-05    4.10325433e-02
6        2.55000000e-05    4.10325433e-02
7        3.55000000e-05    4.10325433e-02
8        4.55000000e-05    4.10325433e-02
9        5.55000000e-05    4.10325433e-02
10       6.55000000e-05    4.10325433e-02
11       7.55000000e-05    4.10325433e-02
12       8.55000000e-05    4.10325433e-02
13       9.55000000e-05    4.10325433e-02
14       1.00000000e-04    4.10325433e-02
End of Xyce(TM) Simulation
