,wire,length (mm)
0,connect0,{'': 12.491819999999997}
1,connect1,{'': 6.98191}
2,connect2,{'': 2.3596399999999997}
3,connect3,{'': 4.841729999999997}
4,out,{'': 4.417909999999998}
5,soln1,{'': 8.313910000000002}
6,soln2,{'': 1.8279999999999998}
7,soln3,{'': 4.3339099999999995}
