,wire,length (mm)
0,connect0,{'': 12.68191}
1,connect1,{'': 3.2758200000000013}
2,connect2,{'': 2.3596399999999997}
3,connect3,{'': 4.8417299999999965}
4,out,{'': 4.417909999999998}
5,soln1,{'': 14.165909999999997}
6,soln2,{'': 2.0539100000000006}
7,soln3,{'': 4.3339099999999995}
