,wire,length (mm)
0,connect0,{'': 6.239820000000001}
1,connect1,{'': 3.5059100000000005}
2,connect2,{'': 1.9659100000000005}
3,connect3,{'': 3.817909999999999}
4,out,{'': 3.733909999999999}
5,soln1,{'': 3.421910000000001}
6,soln2,{'': 3.19391}
7,soln3,{'': 6.38591}
