,wire,length (mm)
0,connect0,{'': 9.580000000000002}
1,connect1,{'': 4.617910000000001}
2,connect2,{'': 5.70191}
3,connect3,{'': 4.392000000000001}
4,out,{'': 4.56191}
5,soln1,{'': 4.1059100000000015}
6,soln2,{'': 4.56191}
7,soln3,{'': 4.3339099999999995}
