,wire,length (mm)
0,connect0,{'': 10.575819999999997}
1,connect1,{'': 1.6819099999999985}
2,out,{'': 2.5939099999999984}
3,soln1,{'': 7.272000000000003}
4,soln2,{'': 5.476000000000002}
