,wire,length (mm)
0,connect0,{'': 6.439820000000002}
1,connect1,{'': 5.022090000000001}
2,out,{'': 4.56191}
3,soln1,{'': 7.069910000000001}
4,soln2,{'': 5.017910000000001}
